Species,Turbines density,WPD-NoTurbine density,Patagonia,Center SAm,Caribbean
Myrmotherula minor,1,1,0,0,0
Myrmotherula snowi,33,1,0,0,0
Myrmotherula surinamensis,0,1,0,0,1
Myrmotherula urosticta,1,1,0,0,0
Nemosia rourei,0,1,0,0,0
Neomorphus geoffroyi,23,1,0,0,1
Neomorphus radiolosus,0,0,0,0,0
Nesofregetta fuliginosa,0,1,0,0,0
Nesopsar nigerrimus,0,1,0,0,1
Nesotriccus ridgwayi,0,1,0,0,0
Odontophorus atrifrons,9,1,0,0,1
Odontophorus melanonotus,0,0,0,0,0
Odontophorus strophium,0,0,0,0,0
Ognorhynchus icterotis,0,0,0,0,0
Onychorhynchus occidentalis,0,1,0,0,0
Onychorhynchus swainsoni,0,1,0,0,0
Oreophasis derbianus,0,1,0,0,1
Oreotrochilus cyanolaemus,0,0,0,0,0
Ortalis erythroptera,3,1,0,0,0
Oxypogon cyanolaemus,37,0,0,0,0
Oxypogon stuebelii,0,0,0,0,0
Pachyramphus spodiurus,3,1,0,0,0
Paraclaravis geoffroyi,4,1,0,1,0
Patagioenas caribaea,0,1,0,0,1
Pauxi koepckeae,0,0,0,0,0
Pauxi pauxi,4,1,0,0,1
Pauxi unicornis,0,1,0,0,0
Penelope albipennis,10,1,0,0,0
Penelope jacucaca,278,1,0,0,0
Penelope ochrogaster,28,0,0,0,0
Penelope ortoni,0,1,0,0,0
Penelope perspicax,0,0,0,0,0
Penelope pileata,0,1,0,0,0
Penelopina nigra,11,1,0,0,1
Percnostola arenarum,0,0,0,0,0
Phaethornis aethopygus,0,0,0,0,0
Phibalura boliviana,0,0,0,0,0
Phoebastria albatrus,2,1,0,0,0
Phoebastria irrorata,3,1,0,0,0
Phoebetria fusca,3,1,1,1,0
Phoenicoparrus andinus,7,1,0,1,0
Phyllomyias urichi,0,1,0,0,1
Phyllomyias weedeni,0,0,0,0,0
Phylloscartes beckeri,52,1,0,0,0
Phylloscartes ceciliae,164,1,0,0,0
Phylloscartes roquettei,124,0,0,0,0
Phytotoma raimondii,4,1,0,0,0
Picumnus spilogaster,0,1,0,0,1
Picumnus steindachneri,3,0,0,0,0
Picumnus varzeae,0,0,0,0,0
Pionites leucogaster,0,1,0,0,0
Pionus reichenowi,32,1,0,0,0
Pipile cujubi,0,1,0,1,0
Pipile jacutinga,11,1,0,1,0
Pipile pipile,0,1,0,0,1
Pipilo socorroensis,0,1,0,0,0
Platyrinchus leucoryphus,7,1,0,1,0
Podiceps auritus,1,1,0,0,1
Podiceps gallardoi,3,1,1,0,0
Podiceps taczanowskii,0,0,0,0,0
Poecilotriccus luluae,0,0,0,0,0
Pogonotriccus lanyoni,0,0,0,0,0
Poospiza baeri,11,1,0,1,0
Poospiza rubecula,3,0,0,0,0
Premnoplex pariae,0,1,0,0,1
Premnoplex tatei,0,1,0,0,1
Primolius couloni,0,0,0,0,0
Procellaria aequinoctialis,4,1,1,1,0
Procellaria conspicillata,10,1,0,1,0
Procellaria parkinsoni,1,1,0,0,1
Procellaria westlandica,3,1,1,1,0
Procnias tricarunculatus,35,1,0,0,1
Progne modesta,2,1,0,0,0
Progne sinaloae,21,0,0,0,0
Psarocolius cassini,0,0,0,0,0
Pselliophorus luteoviridis,0,0,0,0,0
Pseudastur occidentalis,3,1,0,0,0
Psittacara chloropterus,13,1,0,0,1
Psittacara euops,5,1,0,0,1
Psophia dextralis,0,0,0,0,0
Psophia obscura,0,1,0,0,0
Psophia viridis,0,0,0,0,0
Pterodroma arminjoniana,0,1,1,0,1
Pterodroma axillaris,1,1,0,1,0
Pterodroma cahow,0,1,0,0,1
Pterodroma cervicalis,0,1,0,0,0
Pterodroma cookii,2,1,1,1,0
Pterodroma defilippiana,0,1,0,0,0
Pterodroma deserta,2,1,0,1,1
Pterodroma externa,2,1,1,1,0
Pterodroma hasitata,1,1,0,0,1
Pterodroma incerta,5,1,1,1,0
Pterodroma leucoptera,0,1,0,0,0
Pterodroma longirostris,3,1,0,1,0
Pterodroma phaeopygia,7,1,0,0,1
Pterodroma pycrofti,0,1,0,0,0
Pteroglossus bitorquatus,8,1,0,0,0
Puffinus auricularis,21,1,0,0,1
Puffinus newelli,0,1,0,0,0
Pyriglena atra,14,1,0,0,0
Pyrocephalus nanus,3,1,0,0,0
Pyrrhura albipectus,0,0,0,0,0
Pyrrhura caeruleiceps,12,0,0,0,0
Pyrrhura calliptera,0,0,0,0,0
Pyrrhura chapmani,0,0,0,0,0
Pyrrhura cruentata,1,1,0,0,0
Pyrrhura eisenmanni,128,0,0,0,0
Pyrrhura griseipectus,199,1,0,0,0
Pyrrhura lepida,13,1,0,0,0
Pyrrhura leucotis,1,1,0,0,0
Pyrrhura orcesi,0,0,0,0,0
Pyrrhura pfrimeri,0,0,0,0,0
Pyrrhura subandina,0,0,0,0,0
Pyrrhura viridicata,18,1,0,0,1
Rallus antarcticus,28,1,1,1,0
Rallus semiplumbeus,0,0,0,0,0
Rallus wetmorei,0,1,0,0,1
Ramphastos ariel,8,1,0,0,0
Ramphocinclus brachyurus,0,1,0,0,1
Ramphomicron dorsale,18,1,0,0,1
Rhegmatorhina gymnops,1,0,0,0,0
Rhopornis ardesiacus,0,0,0,0,0
Rhynchopsitta pachyrhyncha,21,1,0,0,0
Rhynchopsitta terrisi,166,0,0,0,0
Rissa tridactyla,1,1,0,0,1
Rollandia microptera,2,0,0,0,0
Sclerurus cearensis,263,1,0,0,0
Scytalopus diamantinensis,310,0,0,0,0
Scytalopus gonzagai,0,0,0,0,0
Scytalopus iraiensis,36,1,0,0,0
Scytalopus novacapitalis,0,0,0,0,0
Scytalopus robbinsi,0,0,0,0,0
Scytalopus rodriguezi,0,0,0,0,0
Selasphorus ardens,0,0,0,0,0
Sephanoides fernandensis,0,1,0,0,0
Sericossypha albocristata,0,0,0,0,0
Setophaga angelae,0,1,0,0,1
Setophaga chrysoparia,32,1,0,0,1
Setophaga flavescens,0,1,0,0,1
Setophaga subita,0,1,0,0,1
Sitta insularis,0,1,0,0,1
Spinus cucullatus,7,1,0,0,1
Spinus yarrellii,352,1,0,0,0
Spizaetus isidori,1,1,0,0,1
Spizella wortheni,36,0,0,0,0
Sporophila beltoni,59,1,0,1,0
Sporophila cinnamomea,19,1,0,1,0
Sporophila falcirostris,6,1,0,1,0
Sporophila frontalis,7,1,0,1,0
Sporophila iberaensis,0,1,0,1,0
Sporophila maximiliani,12,1,0,1,1
Sporophila nigrorufa,0,1,0,1,0
Sporophila palustris,36,1,0,1,0
Starnoenas cyanocephala,5,1,0,0,1
Sternula lorata,2,1,0,0,0
Synallaxis courseni,0,0,0,0,0
Synallaxis infuscata,633,1,0,0,0
Synallaxis kollari,0,0,0,0,0
Synallaxis maranonica,0,0,0,0,0
Synallaxis tithys,4,1,0,0,0
Synallaxis zimmeri,3,0,0,0,0
Syndactyla ruficollis,8,1,0,0,0
Synthliboramphus craveri,4,1,0,0,0
Synthliboramphus hypoleucus,4,1,0,0,0
Synthliboramphus scrippsi,6,1,0,0,0
Tachycineta cyaneoviridis,0,1,0,0,1
Tachycineta euchrysea,13,1,0,0,1
Tachyeres leucocephalus,17,1,1,0,0
Tangara argyrofenges,2,1,0,0,0
Tangara cabanisi,0,0,0,0,0
Tangara fastuosa,633,1,0,0,0
Tangara peruviana,1,1,0,0,0
Taphrolesbia griseiventris,4,0,0,0,0
Tephrophilus wetmorei,0,0,0,0,0
Terenura sicki,132,1,0,0,0
Thalassarche chlororhynchos,6,1,0,1,0
Thalassarche chrysostoma,3,1,1,1,0
Thalassarche eremita,2,1,1,1,0
Thalassarche salvini,2,1,1,1,0
Thalurania ridgwayi,51,0,0,0,0
Thalurania watertonii,104,1,0,0,0
Thamnophilus shumbae,7,0,0,0,0
Thamnophilus tenuepunctatus,1,0,0,0,0
Thripophaga amacurensis,0,0,0,0,0
Thripophaga cherriei,0,0,0,0,0
Thripophaga macroura,0,1,0,0,0
Thryophilus nicefori,0,0,0,0,0
Thryophilus sernai,0,0,0,0,0
Touit surdus,46,1,0,0,0
Toxostoma bendirei,0,1,0,0,0
Toxostoma guttatum,0,1,0,0,1
Troglodytes monticola,37,0,0,0,0
Troglodytes tanneri,0,1,0,0,0
Turdus swalesi,33,0,0,0,0
Tympanuchus pallidicinctus,0,1,0,0,0
Tyrannus cubensis,4,1,0,0,1
Vireo caribaeus,0,1,0,0,1
Vultur gryphus,10,1,1,1,1
Wetmorethraupis sterrhopteron,0,0,0,0,0
Xanthopsar flavus,47,1,0,1,0
